,pred,true
0,1.2740489,1.2171801
1,1.2826703,1.1914333
2,1.2941521,1.1659757
3,1.2888523,1.1394649
4,1.2447189,1.1132199
5,1.2444882,1.0822345
6,1.2521664,1.0484133
7,1.2462106,1.0121065
8,1.2224603,0.97248673
9,1.1941066,0.9348043
10,1.1584585,0.8965517
11,1.1159713,0.8560493
12,1.044126,0.8119547
13,0.97458595,0.76376617
14,0.9052028,0.7146113
15,0.8029594,0.66182756
16,0.697741,0.6065058
17,0.64769465,0.55259705
18,0.5498112,0.50078815
19,0.45924553,0.4486751
20,0.37902188,0.39724135
21,0.28943807,0.34625328
22,0.23135896,0.29511657
23,0.14279969,0.24061197
24,0.08821362,0.18503791
25,0.028524024,0.12786074
26,-0.04406975,0.07126267
27,-0.09516251,0.015474127
28,-0.13071021,-0.04108878
29,-0.1760168,-0.09657329
30,-0.21922977,-0.15101844
31,-0.25387508,-0.2041693
32,-0.2896551,-0.2548653
33,-0.33340654,-0.30517486
34,-0.3613285,-0.355464
35,-0.39283472,-0.40342715
36,-0.4166858,-0.44811365
37,-0.44522235,-0.49047562
38,-0.49653742,-0.53103065
39,-0.5083681,-0.5694176
40,-0.5186448,-0.6064673
41,-0.54081273,-0.6436196
42,-0.55927944,-0.6803701
43,-0.57717514,-0.7167076
44,-0.5949513,-0.7503441
45,-0.5971462,-0.7821706
46,-0.6113408,-0.81224215
47,-0.62251776,-0.8403466
48,-0.6271472,-0.86653185
49,-0.6270918,-0.89084923
50,-0.6399659,-0.9135457
51,-0.65570045,-0.9349276
52,-0.6605736,-0.9554516
53,-0.6811822,-0.9745203
54,-0.7005709,-0.99179363
55,-0.72541296,-1.007507
56,-0.7496122,-1.0219843
57,-0.77485335,-1.0351268
58,-0.80412364,-1.0471863
59,-0.8289607,-1.0584751
60,-0.85957986,-1.0692483
61,-0.9199665,-1.0794345
62,-0.9741284,-1.0885167
63,-0.9809463,-1.0967991
64,-1.0033079,-1.1043385
65,-1.0187756,-1.1112796
66,-1.0030984,-1.117734
67,-0.9792477,-1.1240566
68,-0.9982846,-1.1304001
69,-0.99506557,-1.1369344
70,-1.006203,-1.1437539
71,-1.010283,-1.1509922
72,-0.99448156,-1.1585635
73,-0.97736377,-1.1665237
74,-0.9652238,-1.174849
75,-0.98694724,-1.1835424
76,-0.97091097,-1.1924905
77,-0.9943217,-1.2016383
78,-1.0080844,-1.2108443
79,-1.032381,-1.2200407
80,-1.0546359,-1.2290772
81,-1.0858331,-1.2378844
82,-1.1223522,-1.2463044
83,-1.1359562,-1.2542547
84,-1.1474929,-1.261576
85,-1.1558429,-1.2681911
86,-1.1607018,-1.2739555
87,-1.1613057,-1.278808
88,-1.1648883,-1.282627
89,-1.1700387,-1.2853743
90,-1.164144,-1.2869552
91,-1.1766795,-1.2873579
92,-1.1620423,-1.2865176
93,-1.1791046,-1.2844447
94,-1.1597265,-1.2810938
95,-1.165062,-1.276483
96,-1.1561116,-1.2705686
97,-1.1617728,-1.2633749
98,-1.1576177,-1.254863
99,-1.1548132,-1.245044
100,-1.1383411,-1.2338588
101,-1.1000309,-1.2212865
102,-1.1055349,-1.2072387
103,-1.108493,-1.1916709
104,-1.1061268,-1.174503
105,-1.1160593,-1.1556836
106,-1.1178252,-1.1350696
107,-1.0787988,-1.11254
108,-1.0588541,-1.0878736
109,-1.0550051,-1.0609773
110,-1.0278246,-1.0317829
111,-1.03474,-1.0003583
112,-1.0142435,-0.9668267
113,-1.004983,-0.9309039
114,-1.0013114,-0.89235854
115,-0.98252535,-0.8518265
116,-0.9726241,-0.8094428
117,-0.9537149,-0.7651974
118,-0.9161589,-0.71920896
119,-0.89594895,-0.6721251
120,-0.8748924,-0.62395996
121,-0.83281237,-0.57500875
122,-0.79797345,-0.5265369
123,-0.7832166,-0.47818145
124,-0.7481513,-0.42912325
125,-0.70306396,-0.3794443
126,-0.63950354,-0.32891652
127,-0.5620144,-0.27770087
128,-0.4748057,-0.22457536
129,-0.36732835,-0.17015474
130,-0.30591545,-0.116341464
131,-0.23571302,-0.06165399
132,-0.16516748,-0.005786179
133,-0.13300024,0.05078895
134,-0.10869878,0.10773478
135,-0.041438498,0.16375
136,-0.047416892,0.21783747
137,-0.036036182,0.268756
138,-0.025724601,0.31718513
139,-0.00997099,0.3665026
140,-0.002342716,0.41415954
141,0.049431935,0.4600888
142,0.10378366,0.5064009
143,0.15714633,0.5522738
144,0.21918786,0.59698874
145,0.2770048,0.64015245
146,0.32150033,0.6831974
147,0.38662165,0.72432363
148,0.44227615,0.7622785
149,0.46736297,0.7984195
150,0.46948674,0.8316758
151,0.46197298,0.8616149
152,0.43411765,0.88804793
153,0.37940738,0.9085784
154,0.37679884,0.92245966
155,0.3538926,0.9283017
156,0.3777165,0.92681533
157,0.29726085,0.9260594
158,0.11787554,0.92371994
159,-0.10894564,0.91925454
160,-0.36128935,0.9142696
161,-0.50721824,0.9063411
162,-0.57964456,0.8957109
163,-0.56469375,0.88374585
164,-0.5394616,0.86967975
165,-0.5227206,0.85332435
166,-0.40899086,0.83470494
167,-0.2784896,0.81454015
168,-0.1395293,0.7919706
169,0.0021575817,0.7670582
170,0.0785361,0.7402694
171,0.16911997,0.7100095
172,0.23662993,0.67723805
173,0.29821455,0.64177954
174,0.3603002,0.60357493
175,0.42589033,0.5669018
176,0.45474362,0.52944016
177,0.4542521,0.4913744
178,0.44958332,0.4536015
179,0.4007506,0.41436315
180,0.33570763,0.37351152
181,0.2743312,0.33081105
182,0.22343479,0.28667974
183,0.15774408,0.24245785
184,0.09683955,0.19752845
185,0.023119152,0.15226212
186,-0.027028974,0.105414316
187,-0.0847903,0.05863599
188,-0.12893885,0.012208894
189,-0.17795458,-0.035290763
190,-0.19878447,-0.08307548
191,-0.23680519,-0.1293966
192,-0.27870247,-0.17212653
193,-0.30969393,-0.21182673
194,-0.33573842,-0.25036812
195,-0.36366048,-0.28859636
196,-0.40837878,-0.32490304
197,-0.41484076,-0.35794914
198,-0.44343328,-0.38987467
199,-0.46079504,-0.42123443
200,-0.4625709,-0.4501006
201,-0.48367023,-0.4760684
202,-0.483246,-0.49863645
203,-0.48426905,-0.51740384
204,-0.49210277,-0.5350526
205,-0.48813936,-0.55035895
206,-0.49310514,-0.5636409
207,-0.48570904,-0.5757689
208,-0.48188627,-0.58737004
209,-0.4811797,-0.5976424
210,-0.47624007,-0.60313857
211,-0.46514332,-0.60453176
212,-0.47239485,-0.6039608
213,-0.46230417,-0.6028652
214,-0.45608342,-0.59943545
215,-0.45484063,-0.5939357
216,-0.43422982,-0.58662355
217,-0.4153771,-0.57628536
218,-0.38810578,-0.563357
219,-0.39181593,-0.5486042
220,-0.39314967,-0.5305106
221,-0.41068068,-0.50757146
222,-0.4046638,-0.48145896
223,-0.40846816,-0.4528975
224,-0.4178287,-0.4225534
225,-0.4381897,-0.39005432
226,-0.43801025,-0.3555272
227,-0.36865425,-0.32038268
228,-0.3496496,-0.2820262
229,-0.3308477,-0.24063884
230,-0.26304576,-0.19813597
231,-0.2080987,-0.15325639
232,-0.12296186,-0.105598755
233,-0.062628925,-0.05725157
234,0.009293174,-0.0098158
235,0.09156096,0.03937816
236,0.16038083,0.0896372
237,0.23987767,0.13929276
238,0.34047434,0.1875143
239,0.43693182,0.23774463
240,0.5197818,0.28943956
241,0.6154154,0.33958364
242,0.6909767,0.38727567
243,0.76266235,0.43631843
244,0.82826275,0.48644447
245,0.8876864,0.53722566
246,0.93329203,0.587789
247,0.960038,0.63559014
248,0.9986389,0.6815716
249,1.040152,0.727526
250,1.0924081,0.7754987
251,1.1274273,0.8239423
252,1.1533093,0.8688034
253,1.1781166,0.91177666
254,1.2043061,0.95443314
255,1.2335391,0.9959404
256,1.2512022,1.031559
257,1.2690245,1.0658003
258,1.2971418,1.1003455
259,1.319151,1.1311556
260,1.3425152,1.1592275
261,1.3592737,1.1901133
262,1.3740394,1.2202752
263,1.3905237,1.2507408
264,1.4025766,1.2762969
265,1.4190698,1.2938327
266,1.4373626,1.305667
267,1.4366174,1.3142524
268,1.4592735,1.3216372
269,1.4746045,1.3283108
270,1.47587,1.3311793
271,1.4770863,1.3280339
272,1.472661,1.320218
273,1.4519942,1.309416
274,1.3874265,1.2912061
275,1.2988329,1.2700956
276,1.1887928,1.248013
277,1.0656296,1.223143
278,0.94887125,1.198283
279,0.8728853,1.1760442
280,0.79999506,1.1522182
281,0.75642455,1.1266057
282,0.7138162,1.094542
283,0.69697005,1.0566124
284,0.6652358,1.0170423
285,0.6219621,0.97568864
286,0.60394233,0.93374497
287,0.5592036,0.8930508
288,0.51716864,0.8518202
289,0.48354962,0.8076933
290,0.45868236,0.76085263
291,0.3957037,0.71232903
292,0.3266039,0.6608566
293,0.28318682,0.6087629
294,0.23968405,0.556098
295,0.20093702,0.50423807
296,0.16321543,0.45345634
297,0.1234262,0.40435088
298,0.08362548,0.35578582
299,0.049023442,0.30565757
300,0.0041853003,0.24996918
301,-0.036229033,0.19263844
302,-0.072880454,0.13616253
303,-0.112948045,0.07995506
304,-0.1519412,0.02408112
305,-0.19029085,-0.029670976
306,-0.22809985,-0.08265301
307,-0.26337662,-0.13511361
308,-0.29619378,-0.186554
309,-0.33130333,-0.23744252
310,-0.3629138,-0.28709036
311,-0.3911854,-0.33625168
312,-0.42122394,-0.38442042
313,-0.44477677,-0.4294344
314,-0.46318895,-0.47230816
315,-0.48350716,-0.51254606
316,-0.5037619,-0.54964143
317,-0.52276313,-0.586205
318,-0.539853,-0.6234884
319,-0.5539572,-0.6601119
320,-0.5682118,-0.69551456
321,-0.5834525,-0.72886336
322,-0.5951742,-0.761048
323,-0.60523456,-0.790909
324,-0.6190434,-0.8196802
325,-0.63045603,-0.84638906
326,-0.6387877,-0.87138885
327,-0.6489214,-0.8947542
328,-0.66020566,-0.9162457
329,-0.6724507,-0.93684345
330,-0.68744856,-0.9563817
331,-0.70463353,-0.9741746
332,-0.73122895,-0.99076724
333,-0.7696033,-1.0056105
334,-0.8082505,-1.0188782
335,-0.84871584,-1.0313643
336,-0.88543457,-1.0431149
337,-0.91587377,-1.054371
338,-0.9718349,-1.0649948
339,-1.0049144,-1.0746248
340,-1.0108783,-1.0835186
341,-1.024344,-1.0917977
342,-1.0242423,-1.0996945
343,-0.98167706,-1.106891
344,-0.9331122,-1.1136599
345,-0.9141417,-1.1200845
346,-0.89178294,-1.1264855
347,-0.88959605,-1.1331174
348,-0.90144193,-1.1400484
349,-0.9072079,-1.1472843
350,-0.9230144,-1.1549437
351,-0.9405789,-1.1629411
352,-0.9666791,-1.1712703
353,-0.97824603,-1.179787
354,-1.0041443,-1.1884134
355,-1.0263091,-1.1970643
356,-1.0609189,-1.2056503
357,-1.0876826,-1.2140843
358,-1.1048584,-1.2222775
359,-1.1245856,-1.230135
360,-1.1364676,-1.2375454
361,-1.1527832,-1.2444042
362,-1.163525,-1.2506026
363,-1.1736667,-1.2560604
364,-1.1796318,-1.260687
365,-1.1847587,-1.2644299
366,-1.1892363,-1.2672026
367,-1.1823988,-1.2689853
368,-1.1888283,-1.2697059
369,-1.1701763,-1.2693379
370,-1.1807243,-1.2678336
371,-1.1568674,-1.2651815
372,-1.157003,-1.2613521
373,-1.1430454,-1.2563858
374,-1.1430855,-1.2502515
375,-1.133243,-1.2429906
376,-1.1244376,-1.2345464
377,-1.1033883,-1.2249297
378,-1.0608585,-1.2140386
379,-1.064589,-1.2018647
380,-1.0648396,-1.1882728
381,-1.0616368,-1.1732404
382,-1.0721239,-1.1565983
383,-1.0729191,-1.1382989
384,-1.0296357,-1.1181014
385,-1.0073131,-1.0958668
386,-1.0027912,-1.0714638
387,-0.9724745,-1.0450156
388,-0.981715,-1.0163317
389,-0.9608692,-0.985521
390,-0.9505192,-0.95244855
