,pred,true
0,-0.1169206,-0.23771738
1,-0.14433984,-0.24772483
2,-0.13457145,-0.18927704
3,-0.10555378,-0.08763972
4,-0.036440466,0.024228659
5,0.057525236,0.10564503
6,0.09559313,0.14060839
7,0.114707835,0.1296233
8,0.106824905,0.08690635
9,0.075016424,0.04230207
10,0.05799257,0.008349285
11,0.011067503,-0.011769075
12,-0.016426032,-0.0222896
13,-0.041361127,-0.029352572
14,-0.062880546,-0.033718172
15,-0.068741664,-0.0427291
16,-0.06557116,-0.052795615
17,-0.031918515,-0.051898908
18,-0.0036995274,-0.035789404
19,0.015160205,-0.010252374
20,0.012940696,0.020294102
21,0.03324386,0.047528658
22,0.06122504,0.0619723
23,0.052899834,0.054475725
24,0.0078206435,0.03158097
25,-0.022292195,0.0016189067
26,-0.020956071,-0.021775942
27,-0.023272252,-0.031566877
28,-0.04785547,-0.0292809
29,-0.03836909,-0.015902143
30,0.018154176,0.0011656539
31,0.03762948,0.013755151
32,0.026240796,0.016680973
33,0.016202334,0.0041396143
34,0.004690688,-0.01988854
35,-0.005681914,-0.041209027
36,-0.030607255,-0.047946624
37,-0.062121123,-0.03679986
38,-0.06603033,-0.010746547
39,-0.015191526,0.022682052
40,0.03938413,0.050664797
41,0.070409946,0.060918953
42,0.06624241,0.05025576
43,0.054163367,0.022615584
44,0.06917837,-0.009429945
45,0.027541922,-0.037258547
46,-0.0448305,-0.0533079
47,-0.040900443,-0.05343745
48,-0.031107176,-0.038876005
49,-0.03946554,-0.015207575
50,-0.039441206,0.009366028
51,-0.033348534,0.027024593
52,0.0013286021,0.032916814
53,-0.0014981913,0.02818681
54,-0.0033273464,0.016891917
55,0.019560458,0.0034142393
56,0.059336387,-0.008327106
57,0.06415096,-0.015218792
58,0.031264685,-0.016824596
59,0.02577953,-0.014681723
60,0.017308656,-0.011007599
61,-0.011117857,-0.0071569686
62,-0.015528483,-0.0031839074
63,-0.0029235973,1.9624717e-05
64,0.014707522,0.0022914682
65,0.0061494377,0.0037204514
66,0.0024562743,0.0045435196
67,-0.0014182987,0.0046225716
68,-0.0171096,0.0041283546
69,-0.034391224,0.0032469607
70,-0.051171836,0.0022401535
71,-0.037835434,0.001273795
72,-0.014409144,0.0007330559
73,0.00924555,0.0005949691
74,0.036870055,0.0007403615
75,0.07591186,0.0009231728
76,0.07544298,0.0010574384
77,0.048554026,0.0010125927
78,0.020438407,0.000820102
79,0.0041712997,0.0004381681
80,-0.019188758,-4.372e-05
81,-0.048127912,-0.0006438677
82,-0.07171206,-0.0012533595
83,-0.06291725,-0.001868809
84,-0.057320654,-0.0023856708
85,-0.044429407,-0.0028230762
86,0.011304842,-0.003111917
87,0.041870873,-0.0032971904
88,0.057712294,-0.0033304254
89,0.060203418,-0.0032636772
90,0.057645626,-0.0030547632
91,0.047359757,-0.002763929
92,-0.01098179,-0.0023683868
93,-0.013661405,-0.0019420662
94,-0.0074688983,-0.0014737328
95,-0.027291223,-0.0010357897
96,-0.044948246,-0.00061475177
97,-0.055295855,-0.0002987206
98,-0.037161067,-8.4150415e-05
99,-0.031424537,-2.4388857e-05
100,-0.03607446,-5.8154677e-05
101,-0.02716965,-0.00017320036
102,0.019092957,-0.0002860759
103,0.048315745,-0.00042631754
104,0.059390467,-0.00062258315
105,0.043424636,-0.0009508028
106,0.009982681,-0.001335901
107,-0.02018127,-0.0017364044
108,-0.04223674,-0.0020497052
109,-0.052802682,-0.0025101413
110,-0.042475153,-0.0034664508
111,-0.017916668,-0.005302822
112,0.015065506,-0.0079797385
113,0.037588093,-0.010271194
114,0.049084205,-0.011063231
115,0.05013609,-0.010936569
116,0.036726605,-0.009790663
117,0.010990961,-0.0072466657
118,-0.0074923728,-0.0034634862
119,-0.008961253,0.0003020954
120,-0.008925387,0.0037831543
121,-0.020228198,0.006326329
122,-0.029991973,0.0063198158
123,-0.008006172,0.00580149
124,-0.0053047943,0.0076542273
125,-0.013223674,0.011796608
126,-0.004323732,0.016522499
127,0.010203336,0.01834188
128,0.011774241,0.015593232
129,0.011142247,0.004461977
130,0.026391331,-0.017546106
131,0.028379552,-0.04259743
132,-0.0024008318,-0.06162171
133,-0.008650735,-0.06750846
134,-0.030326761,-0.05626908
135,-0.05082567,-0.029999964
136,-0.03766424,0.0055847806
137,-0.0140103735,0.042317957
138,0.016277788,0.07491322
139,0.038883884,0.101049274
140,0.05436214,0.10775149
141,0.059309103,0.08820542
142,0.048182923,0.04494233
143,0.012120035,-0.017803522
144,-0.029507093,-0.0891908
145,-0.06805706,-0.15194066
146,-0.09506025,-0.18480092
147,-0.089708626,-0.17657976
148,-0.06726923,-0.12422222
149,-0.026057415,-0.03193495
150,0.02433875,0.080079004
151,0.06916373,0.18372975
152,0.106431015,0.24964213
153,0.11827242,0.2524698
154,0.103036754,0.18581071
155,0.051888656,0.06339806
156,-0.019339079,-0.07860689
157,-0.080549456,-0.18708219
158,-0.12364704,-0.23650117
159,-0.13284168,-0.21896696
160,-0.11816313,-0.14323637
161,-0.048457935,-0.039618265
162,0.01312196,0.0605853
163,0.05939326,0.13259208
164,0.09556767,0.15928183
165,0.10577695,0.13884205
166,0.078432895,0.08372523
167,0.03381482,0.015714463
168,-0.016007457,-0.044964258
169,-0.047271453,-0.08210517
170,-0.075602286,-0.088529535
171,-0.08188583,-0.07036443
172,-0.044170503,-0.036685754
173,-0.006411045,-0.0007515733
174,0.02604553,0.026691
175,0.03591652,0.04535283
176,0.04349853,0.04805148
177,0.041282836,0.03542166
178,0.009654089,0.013562179
179,-0.027123453,-0.013101755
180,-0.039833788,-0.036359515
181,-0.033592783,-0.048428513
182,-0.021870546,-0.043418575
183,-0.007911897,-0.019727228
184,0.020200845,0.014559049
185,0.05136231,0.0480661
186,0.055004172,0.06697895
187,0.048199046,0.06615926
188,0.02633014,0.044518005
189,-0.007164944,0.005131422
190,-0.033326685,-0.038824797
191,-0.06107475,-0.06998818
192,-0.07364591,-0.07504076
193,-0.06675405,-0.054713335
194,-0.03520648,-0.020832596
195,0.0005751045,0.013117089
196,0.034178797,0.03923676
197,0.06918262,0.052363876
198,0.072610125,0.04622144
199,0.04877905,0.023597883
200,0.013131437,-0.0030337793
201,-0.009578203,-0.022771893
202,-0.02013842,-0.028644951
203,-0.044957254,-0.020637084
204,-0.044725727,-0.008727378
205,-0.016500287,0.0018867872
