,pred,true
0,0.22014475,0.3101941
1,0.13884602,0.24060877
2,0.0567831,0.1736208
3,-0.017954964,0.10869587
4,-0.08713429,0.047829457
5,-0.15072992,-0.013773012
6,-0.21940517,-0.07356924
7,-0.28998753,-0.13058217
8,-0.3465486,-0.18506092
9,-0.39304468,-0.23092446
10,-0.42308667,-0.27058885
11,-0.44869393,-0.30587858
12,-0.46891356,-0.33829704
13,-0.48511648,-0.36834976
14,-0.495328,-0.39266756
15,-0.49596956,-0.41402206
16,-0.49279281,-0.43116874
17,-0.48794645,-0.43980613
18,-0.4807187,-0.43935207
19,-0.46933746,-0.4327796
20,-0.45201603,-0.41964304
21,-0.4263137,-0.40089193
22,-0.39763924,-0.37803084
23,-0.36816016,-0.35532066
24,-0.3322649,-0.3310608
25,-0.29300514,-0.30638254
26,-0.2506434,-0.27950767
27,-0.20674938,-0.250748
28,-0.16128348,-0.22235738
29,-0.122063324,-0.19290029
30,-0.07861722,-0.16291232
31,-0.042914018,-0.13262741
32,-0.0068735834,-0.10136144
33,0.030687407,-0.07187729
34,0.06384121,-0.045041855
35,0.09213884,-0.01874652
36,0.1181183,0.007675265
37,0.14859043,0.03278538
38,0.1689563,0.055584
39,0.18561377,0.07603147
40,0.1988955,0.09284822
41,0.20480397,0.10420923
42,0.19820188,0.11052389
43,0.18682303,0.11189665
44,0.17933133,0.11094285
45,0.16926378,0.10693978
46,0.16328125,0.10005049
47,0.15446573,0.09077476
48,0.13349871,0.07936376
49,0.11506828,0.066082254
50,0.0940481,0.051003803
51,0.06747742,0.034162942
52,0.047860116,0.01548972
53,0.02405566,-0.0039111786
54,0.003508197,-0.023191676
55,-0.016516028,-0.042145915
56,-0.030209789,-0.06068645
57,-0.04030469,-0.07829456
58,-0.054496173,-0.0948465
59,-0.069461845,-0.110306025
60,-0.07912672,-0.124580696
61,-0.087473616,-0.13722531
62,-0.08805483,-0.1473458
63,-0.08590576,-0.15497178
64,-0.086056,-0.15993531
65,-0.0941872,-0.16221361
66,-0.10209531,-0.16180749
67,-0.111533776,-0.15902425
68,-0.11614731,-0.15399437
69,-0.109469876,-0.14689112
70,-0.09835813,-0.13782999
71,-0.083460964,-0.1269834
72,-0.0694624,-0.11430699
73,-0.055773266,-0.09992373
74,-0.049569167,-0.08389455
75,-0.039665837,-0.06632617
