,pred,true
0,-0.20065834,-0.23771738
1,-0.17330733,-0.24772483
2,-0.14980087,-0.18927704
3,-0.06828673,-0.08763972
4,0.07661608,0.024228659
5,0.13730523,0.10564503
6,0.15536787,0.14060839
7,0.13358347,0.1296233
8,0.09967259,0.08690635
9,0.02413632,0.04230207
10,-0.035967026,0.008349285
11,-0.052129183,-0.011769075
12,-0.061993964,-0.0222896
13,-0.0030521185,-0.029352572
14,-0.027333973,-0.033718172
15,-0.041469038,-0.0427291
16,-0.01647895,-0.052795615
17,-0.049999516,-0.051898908
18,-0.06583843,-0.035789404
19,-0.032409307,-0.010252374
20,-0.0019163892,0.020294102
21,0.02997047,0.047528658
22,0.031219209,0.0619723
23,0.0487271,0.054475725
24,0.0632279,0.03158097
25,0.023352636,0.0016189067
26,-0.014995695,-0.021775942
27,-0.055806655,-0.031566877
28,-0.037726708,-0.0292809
29,-0.005725512,-0.015902143
30,0.0071492987,0.0011656539
31,0.010244799,0.013755151
32,0.058368817,0.016680973
33,0.0550629,0.0041396143
34,-0.0222826,-0.01988854
35,-0.07512121,-0.041209027
36,-0.10419312,-0.047946624
37,-0.07276114,-0.03679986
38,-0.07307269,-0.010746547
39,-0.09252876,0.022682052
40,-0.010637295,0.050664797
41,0.029281031,0.060918953
42,0.04478458,0.05025576
43,0.027494667,0.022615584
44,0.05003709,-0.009429945
45,0.04830423,-0.037258547
46,-0.07320671,-0.0533079
47,-0.028971005,-0.05343745
48,-0.011166345,-0.038876005
49,-0.038154826,-0.015207575
50,-0.02908959,0.009366028
51,-0.02084865,0.027024593
52,-0.060540415,0.032916814
53,-0.0263399,0.02818681
54,-0.051728435,0.016891917
55,-0.04943828,0.0034142393
56,-0.045386165,-0.008327106
57,-0.018057285,-0.015218792
58,0.0285275,-0.016824596
59,0.0007660587,-0.014681723
60,-0.011045439,-0.011007599
61,0.02331829,-0.0071569686
62,0.07085037,-0.0031839074
63,0.05325641,1.9624717e-05
64,0.03424002,0.0022914682
65,0.045057934,0.0037204514
66,0.04753575,0.0045435196
67,0.005836136,0.0046225716
68,-0.047997877,0.0041283546
69,-0.08971889,0.0032469607
70,-0.07284318,0.0022401535
71,-0.06353401,0.001273795
72,-0.047401067,0.0007330559
73,0.019702807,0.0005949691
74,0.074676424,0.0007403615
75,0.0776563,0.0009231728
76,0.08027699,0.0010574384
77,0.08714332,0.0010125927
78,0.08301056,0.000820102
79,0.049916252,0.0004381681
80,-0.03451992,-4.372e-05
81,-0.04505443,-0.0006438677
82,-0.053782597,-0.0012533595
83,-0.07650818,-0.001868809
84,-0.047047965,-0.0023856708
85,-0.002022916,-0.0028230762
86,-0.027543858,-0.003111917
87,-0.029124847,-0.0032971904
88,-0.0040429085,-0.0033304254
89,0.008403998,-0.0032636772
90,0.006403459,-0.0030547632
91,0.0077344896,-0.002763929
92,0.030627737,-0.0023683868
93,0.019435657,-0.0019420662
94,-0.021289725,-0.0014737328
95,-0.04945285,-0.0010357897
96,-0.02829314,-0.00061475177
97,-0.009794749,-0.0002987206
98,-0.044590186,-8.4150415e-05
99,-0.03798467,-2.4388857e-05
100,-0.01192582,-5.8154677e-05
101,-0.014922344,-0.00017320036
102,-0.024796449,-0.0002860759
103,0.0167352,-0.00042631754
104,0.0008300562,-0.00062258315
105,-0.02664278,-0.0009508028
106,0.02054189,-0.001335901
107,0.007914635,-0.0017364044
108,-0.007965442,-0.0020497052
109,-0.058554538,-0.0025101413
110,-0.06203854,-0.0034664508
111,-0.047468137,-0.005302822
112,-0.0036146948,-0.0079797385
113,0.011069997,-0.010271194
114,-0.0053245164,-0.011063231
115,0.03821612,-0.010936569
116,0.0009905118,-0.009790663
117,0.019241467,-0.0072466657
118,-0.006464337,-0.0034634862
119,-0.020266062,0.0003020954
120,-0.019672016,0.0037831543
121,-0.036205065,0.006326329
122,0.001896431,0.0063198158
123,-0.0070930673,0.00580149
124,-0.002281021,0.0076542273
125,-0.00467229,0.011796608
126,-0.026184533,0.016522499
127,-0.021086108,0.01834188
128,-0.020067055,0.015593232
129,-0.00394851,0.004461977
130,0.028400641,-0.017546106
131,0.042476423,-0.04259743
132,0.015774842,-0.06162171
133,-0.026350204,-0.06750846
134,-0.005160784,-0.05626908
135,-0.013498594,-0.029999964
136,-0.025526315,0.0055847806
137,-0.019597657,0.042317957
138,0.062085655,0.07491322
139,0.0587681,0.101049274
140,0.043849148,0.10775149
141,0.04334527,0.08820542
142,0.041280627,0.04494233
143,0.014159301,-0.017803522
144,-0.05041828,-0.0891908
145,-0.07950354,-0.15194066
146,-0.07261063,-0.18480092
147,-0.083506964,-0.17657976
148,-0.085993044,-0.12422222
149,-0.041006856,-0.03193495
150,0.051166598,0.080079004
151,0.12067588,0.18372975
152,0.14813054,0.24964213
153,0.14748141,0.2524698
154,0.11649518,0.18581071
155,0.035551667,0.06339806
156,-0.07462203,-0.07860689
157,-0.14703938,-0.18708219
158,-0.17263399,-0.23650117
159,-0.16677646,-0.21896696
160,-0.13304694,-0.14323637
161,-0.07310639,-0.039618265
162,0.005545714,0.0605853
163,0.11249923,0.13259208
164,0.16468832,0.15928183
165,0.14994791,0.13884205
166,0.10493799,0.08372523
167,0.06832255,0.015714463
168,0.007469594,-0.044964258
169,-0.08164774,-0.08210517
170,-0.124259755,-0.088529535
171,-0.115322664,-0.07036443
172,-0.08565511,-0.036685754
173,-0.06788518,-0.0007515733
174,-0.04136323,0.026691
175,0.023043044,0.04535283
176,0.029270787,0.04805148
177,0.022659441,0.03542166
178,0.037743565,0.013562179
179,0.052439988,-0.013101755
180,0.03802185,-0.036359515
181,-0.003494197,-0.048428513
182,0.01479307,-0.043418575
183,0.0063010207,-0.019727228
184,-0.020766081,0.014559049
185,-0.030978927,0.0480661
186,-0.046182323,0.06697895
187,-0.009678002,0.06615926
188,0.038964882,0.044518005
189,0.07161092,0.005131422
190,0.039042175,-0.038824797
191,-0.005220204,-0.06998818
192,-0.017596494,-0.07504076
193,0.0012926541,-0.054713335
194,-0.05785567,-0.020832596
195,-0.058125127,0.013117089
196,0.0049109985,0.03923676
197,0.05966865,0.052363876
198,0.040388096,0.04622144
199,0.027111236,0.023597883
200,0.014525481,-0.0030337793
201,-0.020651413,-0.022771893
202,-0.06217486,-0.028644951
203,-0.046305597,-0.020637084
204,-0.021317557,-0.008727378
205,-0.0034540803,0.0018867872
206,0.011390372,0.0056296946
207,0.042429153,-0.00018090395
208,0.054567248,-0.012368644
209,0.024170082,-0.021081341
210,-0.005026063,-0.013624369
211,0.007303752,0.008774478
212,0.01724543,0.03451308
213,-0.000132687,0.05089878
214,-0.025405625,0.0530219
215,-0.034454826,0.037629887
216,-0.05268736,0.007266757
217,-0.072860196,-0.02794261
218,-0.07030026,-0.058079414
219,-0.033975776,-0.074243784
220,-0.0027471979,-0.06732978
221,0.0157819,-0.03575198
222,0.049239818,0.008323894
223,0.08258988,0.049236525
224,0.08881886,0.07277115
225,0.038661405,0.07225857
226,-0.016515126,0.04817938
227,-0.046431653,0.0072594844
228,-0.07754835,-0.032377984
229,-0.09401213,-0.057953022
230,-0.0855984,-0.064801835
231,-0.047755543,-0.049809325
232,-0.0035601158,-0.018390743
233,0.0262942,0.014719814
234,0.048578992,0.036455583
235,0.060521245,0.04535882
236,0.053267866,0.039727222
237,0.03344905,0.020687036
238,0.0083882585,-0.0041078962
239,-0.019922303,-0.019025138
240,-0.035634454,-0.01950591
241,-0.035134446,-0.011648711
242,-0.008457859,-0.00063428486
243,0.0018236325,0.01491786
244,-0.011214991,0.028259981
245,-0.019305015,0.031387288
246,-0.03465254,0.01852871
247,-0.050062522,-0.011698329
248,-0.058709715,-0.046686985
249,-0.06267586,-0.068178274
250,-0.056000445,-0.06206999
251,-0.033761512,-0.030847074
252,0.017656498,0.010031424
253,0.06849298,0.0508033
254,0.089555666,0.08155713
255,0.08651069,0.08977396
256,0.0713039,0.064437
257,0.045603346,0.020026736
258,-0.021098284,-0.026912149
259,-0.07195794,-0.068586804
260,-0.08101058,-0.09033119
261,-0.07919744,-0.07722655
262,-0.069386244,-0.04045636
263,-0.07375217,0.0052935346
264,-0.031517714,0.034341358
265,0.034044705,0.033602923
266,0.05125971,0.014060556
267,0.041808955,-0.0034831187
268,0.03311054,-0.0009765787
269,0.04071864,0.025258495
270,0.01972166,0.059762582
271,0.02126494,0.08201659
272,0.024916455,0.08010293
273,0.012279413,0.050068777
274,-0.025059558,-0.009951602
275,-0.067258835,-0.0758233
276,-0.08364381,-0.122298874
277,-0.06525274,-0.1348347
278,-0.056394517,-0.10225447
279,-0.034349773,-0.02978411
280,0.001101573,0.051878095
281,0.059593856,0.11307022
282,0.09127022,0.12620701
283,0.08389567,0.09069684
284,0.051692236,0.030111725
285,0.0015381933,-0.030695302
286,-0.03700064,-0.067689896
287,-0.049410693,-0.06767905
288,-0.0300562,-0.039084785
289,0.011464924,-0.0024018055
290,0.027565846,0.024577344
291,0.029377457,0.031351954
292,0.0037669446,0.014261248
293,-0.038901165,-0.014397306
294,-0.051107805,-0.039777927
295,-0.055709943,-0.046525795
296,-0.047974605,-0.028576436
297,-0.033160627,0.009241957
298,0.0215311,0.049815517
299,0.07170857,0.07151217
300,0.08247305,0.058063716
301,0.055883735,0.02000021
302,0.0043675737,-0.023720251
303,-0.010432096,-0.057399824
304,-0.039481483,-0.06848494
305,-0.056939334,-0.050613128
306,-0.041709166,-0.0130172735
307,-0.006279432,0.029112589
308,0.02119563,0.060143247
309,0.027868623,0.06704173
310,-0.016243463,0.046955097
311,-0.028505256,0.004911554
312,-0.036829114,-0.04353269
313,-0.054629713,-0.077579945
314,-0.047428835,-0.08600182
315,-0.026185267,-0.06456784
316,0.021605255,-0.019801805
317,0.050830122,0.028775055
318,0.042180385,0.063224934
319,0.07368378,0.075770274
320,0.037466075,0.06540748
321,0.020600537,0.038059063
322,-0.013720836,0.0015632033
323,-0.0239331,-0.031752467
324,-0.030430919,-0.054704867
325,-0.034917295,-0.060734328
326,-0.03715539,-0.05033298
327,-0.028245263,-0.028408708
328,-0.018357344,-0.0022358669
329,-0.023307905,0.018876273
330,-0.007850632,0.030215949
331,0.013280544,0.03174663
332,-0.0128339855,0.024731362
333,0.004376589,0.013919381
334,0.026895938,0.0029690783
335,0.06339428,-0.006613408
336,0.048104044,-0.013325723
337,0.07281395,-0.01687595
338,0.07033858,-0.017077018
339,0.029947996,-0.014046045
340,-0.020166563,-0.009409155
341,-0.038185064,-0.0046483083
342,-0.038004275,-0.0007783353
343,-0.05801024,0.0026656452
344,-0.06512642,0.0055095707
345,-0.02742072,0.0077456045
346,0.015031338,0.008879914
347,0.020693304,0.008521233
348,0.019173041,0.0068031605
349,0.026644975,0.0041557425
350,0.038357396,0.00097362243
351,0.017103378,-0.00198401
352,-0.016838076,-0.0041375193
353,-0.009452089,-0.004946549
354,0.018339077,-0.0043450007
355,0.0050859456,-0.0026656527
356,0.013221714,-0.0005150996
357,0.0021023299,0.0014020846
358,-0.01955286,0.0025030696
359,0.0049574175,0.002496142
360,-0.023934396,0.0014558869
361,-0.014043445,-0.0002668885
362,0.0063591613,-0.0021682817
363,0.036862608,-0.0037980126
364,0.051190276,-0.004825688
365,-0.036875162,-0.0051649283
366,0.033035666,-0.0048593557
367,0.007732694,-0.004161856
368,-0.013507633,-0.0032653846
369,-0.04136181,-0.0023694267
370,-0.050838128,-0.0015615087
371,-0.04038458,-0.0008989727
372,-0.027690588,-0.00037460666
373,-0.011672001,-5.9703103e-05
374,0.013077274,9.263362e-05
375,0.03541177,4.341331e-05
376,0.031055668,-9.3406714e-05
377,0.017949473,-0.0002974169
378,-0.0012345937,-0.00042468146
379,-0.014955097,-0.0005237148
380,-0.026227592,-0.0005402642
381,-0.042397253,-0.00064161967
382,-0.031201389,-0.00082064216
383,-0.015735596,-0.0012356394
384,-0.014851789,-0.0017555091
385,0.0004220292,-0.0024347478
386,0.00434932,-0.0034415321
387,-0.017329272,-0.005207233
388,-0.0044826204,-0.007387681
389,0.048234176,-0.00970227
390,0.052992593,-0.011293014
391,-0.008704996,-0.011676215
392,0.030386766,-0.010492567
393,0.015450517,-0.008822252
394,-0.0012906728,-0.0061319
395,-0.033389702,-0.0015732895
396,0.0079808645,0.0041727945
397,0.001168552,0.008869715
398,-0.010718707,0.011802829
399,-0.0010631208,0.011892735
400,0.011969575,0.011032664
401,0.002496147,0.009433077
402,-0.013696566,0.0072605116
403,-0.007474118,0.005174758
404,0.0102444235,0.0023548475
405,0.0035667792,-0.002942172
406,-0.014915535,-0.013263168
407,-0.013348488,-0.027534835
408,-0.014297269,-0.039234035
409,-0.025810054,-0.043359786
410,-0.03479117,-0.035335544
411,-0.02630973,-0.020685578
412,-0.019745275,-0.0018372054
413,-0.002515656,0.020127488
414,0.021370642,0.04482102
415,0.037942708,0.067246445
416,0.045385763,0.075665206
417,0.049392927,0.06195743
418,0.03048638,0.031552184
